,time,open,high,low,close,tickvol,vol
446,2020-10-06 12:30:00,96535,96740,96435,96455,95902,360267
447,2020-10-06 12:45:00,96450,96455,96080,96260,136332,522194
448,2020-10-06 13:00:00,96255,96360,96070,96335,81832,315396
449,2020-10-06 13:15:00,96335,96405,96220,96295,67398,258129
450,2020-10-06 13:30:00,96295,96560,96145,96505,100862,432283
451,2020-10-06 13:45:00,96510,96750,96300,96505,115393,443881
452,2020-10-06 14:00:00,96505,96555,96315,96355,75588,272695
453,2020-10-06 14:15:00,96355,96450,96230,96340,74631,279413
454,2020-10-06 14:30:00,96345,96430,96160,96285,84883,333920
455,2020-10-06 14:45:00,96280,96540,96210,96435,71115,274695
456,2020-10-06 15:00:00,96430,96710,96090,96510,149406,588026
457,2020-10-06 15:15:00,96510,96570,96320,96405,65009,259652
458,2020-10-06 15:30:00,96405,96775,96400,96695,91546,365315
459,2020-10-06 15:45:00,96690,96715,95270,95640,281030,1153065
460,2020-10-06 16:00:00,95640,95845,95125,95635,208648,836918
461,2020-10-06 16:15:00,95635,95980,95480,95940,123962,504644
462,2020-10-06 16:30:00,95940,96340,95900,96065,124939,500857
463,2020-10-06 16:45:00,96065,96075,95550,95560,100272,400692
464,2020-10-06 17:00:00,95565,95715,95380,95515,59090,241762
465,2020-10-06 17:15:00,95510,95830,95425,95715,35628,126850
466,2020-10-06 17:30:00,95720,95750,95310,95390,36392,125537
467,2020-10-06 17:45:00,95395,95590,95225,95505,24440,77941
468,2020-10-07 09:00:00,96240,96375,95960,96230,107351,300657
469,2020-10-07 09:15:00,96230,96350,95955,95970,100803,314479
470,2020-10-07 09:30:00,95970,96020,95750,95915,124153,378196
471,2020-10-07 09:45:00,95910,96065,95855,95950,86921,277194
472,2020-10-07 10:00:00,95945,96120,95810,96090,149935,501507
473,2020-10-07 10:15:00,96090,96160,95740,96025,162302,546904
474,2020-10-07 10:30:00,96030,96195,95590,95930,213272,735156
475,2020-10-07 10:45:00,95930,96325,95580,95670,213437,781664
